"ref_area.label","indicator.label","source.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_source.label"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Not classified","2014",1643.179,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2014",764.892,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Not classified","2014",764.892,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2014",685.028,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2014",69.146,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2014",10.574,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2014",13.731,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Not classified","2014",591.577,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2014",616.155,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2014",202.638,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2014",61.445,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2014",65.362,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Not classified","2014",286.71,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2014",1195.086,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2014",108.585,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2014",58.469,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2014",4.953,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Not classified","2014",1023.079,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2014",489.603,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): '5-11","Economic activity (Broad sector): Not classified","2014",489.603,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2014",366.947,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2014",27.287,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2014",10.715,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2014",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Not classified","2014",328.455,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2014",338.536,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2014",81.298,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2014",47.754,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2014",4.463,,"Repository: ILO-STATISTICS - Micro data processing"
"Afghanistan","Children in employment by sex, age and economic activity (thousands)","HIES - Households Living Conditions Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Not classified","2014",205.021,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2010",52.934,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2010",42.935,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2010",2.171,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2010",7.828,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2010",7.856,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Agriculture","2010",7.203,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Industry","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Services","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2010",15.254,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2010",12.64,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2010",0.468,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2010",2.146,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2010",29.825,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2010",23.093,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2010",1.517,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2010",5.216,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2010",31.579,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2010",25.227,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2010",1.633,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2010",4.718,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2010",4.908,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Agriculture","2010",4.313,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Industry","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Services","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2010",8.676,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2010",7.472,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2010",0.95,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2010",17.994,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2010",13.442,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2010",1.192,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2010",3.36,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2010",21.356,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2010",17.708,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2010",0.538,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2010",3.11,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2010",2.947,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-11","Economic activity (Broad sector): Agriculture","2010",2.891,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): '5-11","Economic activity (Broad sector): Services","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2010",6.577,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2010",5.167,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2010",1.197,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2010",11.831,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2010",9.65,,"Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2010",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Albania","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Female","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2010",1.856,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2015",50.28,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2015",45.899,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2015",1.209,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2015",3.171,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2015",10.916,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Agriculture","2015",10.41,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): '5-11","Economic activity (Broad sector): Services","2015",0.506,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2015",13.686,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2015",12.681,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2015",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 12-14","Economic activity (Broad sector): Services","2015",0.886,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Total","2015",25.678,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Agriculture","2015",22.808,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Industry","2015",1.09,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Total","Age (Child labour bands): 15-17","Economic activity (Broad sector): Services","2015",1.779,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Total","2015",33.792,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Agriculture","2015",30.353,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Industry","2015",1.117,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-17","Economic activity (Broad sector): Services","2015",2.322,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Total","2015",6.867,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Agriculture","2015",6.505,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): '5-11","Economic activity (Broad sector): Services","2015",0.362,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Total","2015",9.134,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Agriculture","2015",8.355,,"Repository: ILO-STATISTICS - Micro data processing"
"Armenia","Children in employment by sex, age and economic activity (thousands)","CLS - National Child Labour Survey","Sex: Male","Age (Child labour bands): 12-14","Economic activity (Broad sector): Industry","2015",,"Unreliable","Repository: ILO-STATISTICS - Micro data processing"
