Last updated:,,9/2/2015,,,,,,Notes:,Click an arrow on any column to sort the results. Clicking A-->Z will sort from smallest to largest score and Z-->A will sort largest to smallest,,,,,The sum of practice indicator results are in columns EA-EC,"Practice indicator scores are NOT included in the Guideline averages. In other words, Column P is an average of columns J-M and does not include columns N-O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Practice Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Region,Income level,Income level normalized (5=High Income:OECD; 1=Low income),Aarhus,OGP,Federal/unitary,1.1,1.2,1.3,1.4,1.5,1.6,Guideline 1--Accessibility of Information Requests,2.1,2.2,2.3,2.4,P2.1,P2.2,Guideline 2--Environmental Information in the public domain,3.1,3.2,3.3,Guideline 3--Grounds for Refusal,4.1,4.2,4.3,P4.1,Guideline 4: Information collection and management,5.1,5.2,5.3,5.4,P5.1,Guideline 5--State of the Environment Report,6.1,Guideline 6--Early Warning Information,Access to Info Score,8.1,8.2,8.3,P8.1,Guideline 8--Early Public Participation,9.1,9.2,Guideline 9--Proactive Public Consultation,10.1,10.2,10.3,P10.1,P10.2,P10.3,P10.4,P10.5,Guideline 10--Informed Participation,11.1,11.2,P11.1,Guideline 11--Due Account of Public Comments,12.1,Guideline 12--Public Participation Review,13.1,13.2,13.3,13.4,Guideline 13--Integrating public input for rule-making,Participation Pillar Score,15.1,15.2,15.3,P15.1,Guideline 15--Information Request Appeals,16.1,16.2,16.3,P16.1,Guideline 16--Public Participation Appeals,17.1,17.2,17.3,17.4,P17.1,P17.2,Guideline 17--Right of Public to challenge State or Private Actors,18.1,P18.1,Guideline 18--Broad Standing,19.1,19.2,19.3,19.4,19.5,P19.1,"Guideline 19--Fair, timely, and independent review",20.1,20.2,20.3,20.4,P20.1,P20.2,P20.3,Guideline 20--Affordable Access to relief and remedy,21.1,21.2,21.3,21.4,21.5,21.6,P21.1,"Guideline 21--Prompt, effective remedies",22.1,22.2,22.3,22.4,22.5,22.6,Guideline 22--Effective enforcement,23.1,23.2,P23.1,Guideline 23--Awareness and education about remedies and relief,24.1,24.2,24.3,P24.1,Guideline 24--Public Access to Judicial and Administrative decisions,26.1,26.2,P26.1,Guideline 26--Alternative Dispute Resolution for Environmental Issues,Justice Pillar Score,Overall Score,YES (practice),LIMITED (practice),NO (practice),Yes and Limted Combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,LAC,Upper middle income,3,,OGP,Unitary,3,3,2,3,3,2,2.67,3,2,3,1,1,2,2.25,2,3,3,2.67,3,3,1,0,2.33,3,3,1,0,2,1.75,3,3,2.44,2,2,1,1,1.67,1,1,1,1,1,0,1,0,2,0,0,0.67,2,1,1,1.5,2,2,2,2,1,2,1.75,1.43,3,3,3,2,3.00,1,3,3,2,2.33,3,3,2,3,2,2,2.75,3,2,3,3,3,2,1,1,2,2,3,3,3,3,2,0,0,3,3,0,3,2,2,2,2,2.00,3,0,3,3,3,2,2.33,0,0,0,0,3,3,0,2,2.00,1,0,0,0.5,2.08,1.99,12,4,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Europe,High income: OECD,5,Aarhus,OGP,Unitary,3,3,2,3,2,2,2.50,3,3,2,3,2,2,2.75,3,3,3,3.00,3,2,3,1,2.67,3,2,1,0,2,1.5,3,3,2.57,2,2,2,2,2.00,0,2,1,2,0,1,1,2,2,1,1,1.00,2,1,0,1.5,1,1,0,2,2,2,1.5,1.33,3,3,3,2,3.00,1,2,3,2,2.00,3,2,2,3,2,2,2.5,2,2,2,3,3,0,3,3,2,2.4,1,1,0,1,0,2,2,0.75,1,0,2,1,1,2,2,1.17,3,0,2,0,2,1,1.33,2,2,1,2,0,3,3,2,2.00,2,1,0,1.5,1.88,1.93,16,5,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,LAC,Upper middle income,3,,,Unitary,3,3,2,3,3,2,2.67,3,3,3,3,2,2,3,3,0,1,1.33,3,3,1,1,2.33,0,0,0,0,1,0,1,1,1.72,3,0,0,1,1.00,3,3,3,3,1,1,1,1,1,1,1,1.67,1,3,1,2,1,1,3,3,2,2,2.5,1.86,3,3,3,2,3.00,3,3,3,2,3.00,2,2,2,3,2,2,2.25,2,2,2,3,3,2,3,3,2,2.8,3,3,2,3,2,1,2,2.75,2,2,3,2,2,3,2,2.33,3,0,3,0,3,0,1.50,0,0,1,0,3,3,3,2,3.00,1,0,0,0.5,2.10,1.90,12,11,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peru,LAC,Upper middle income,3,,OGP,Unitary,3,3,2,3,3,2,2.67,3,3,2,3,1,0,2.75,2,0,0,0.67,2,3,3,0,2.67,3,1,0,0,1,1,2,2,1.96,3,1,2,1,2.00,2,2,2,2,1,3,1,1,2,1,1,2.00,2,2,1,2,2,2,1,2,2,2,1.75,1.96,3,0,3,0,2.00,3,3,3,1,3.00,3,3,3,3,2,2,3,3,2,3,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0.75,2,2,2,2,1,2,2,1.83,3,1,1,1,2,1,1.50,0,0,0,0,2,2,2,2,2.00,3,0,2,1.5,1.69,1.87,8,10,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,Europe,High income: OECD,5,Aarhus,OGP,Unitary,3,3,2,3,3,3,2.83,3,2,3,3,1,1,2.75,3,3,1,2.33,2,2,2,1,2.00,3,2,2,1,2,2,3,3,2.49,2,2,2,2,2.00,1,0,0.5,2,0,1,2,0,2,0,1,1.00,2,2,1,2,2,2,1,1,2,1,1.25,1.46,3,3,3,2,3.00,3,2,3,2,2.67,2,0,0,2,0,2,1,2,2,2,2,2,1,2,2,2,1.8,1,1,0,1,0,2,1,0.75,1,1,2,1,2,1,2,1.33,3,3,3,2,3,0,2.33,0,0,1,0,3,3,1,2,2.33,1,0,0,0.5,1.61,1.85,12,7,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,LAC,Upper middle income,3,,OGP,Federal,3,3,2,3,3,2,2.67,3,3,3,3,1,1,3,2,2,1,1.67,3,3,3,0,3.00,3,3,1,0,2,1.75,2,2,2.35,2,1,1,2,1.33,1,0,0.5,1,1,0,2,0,2,2,2,0.67,0,3,0,1.5,0,0,1,3,3,2,2.25,1.04,3,3,3,2,3.00,3,3,3,2,3.00,3,3,1,3,2,2,2.5,1,2,1,3,3,0,2,3,2,2.2,1,1,1,2,2,2,2,1.25,2,2,2,2,2,3,2,2.17,3,0,3,2,3,2,2.17,2,2,1,2,3,3,0,2,2.00,1,1,2,1,2.03,1.80,18,3,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,Asia/Pacific,Lower middle income,2,,OGP,Unitary,3,2,1,3,3,2,2.33,3,2,0,3,1,0,2,2,3,3,2.67,3,3,3,1,3.00,3,1,0,0,2,1,3,3,2.33,3,2,2,1,2.33,2,3,2.5,1,1,0,1,1,0,0,0,0.67,1,1,2,1,0,0,3,1,1,1,1.5,1.33,3,2,2,2,2.33,1,1,2,2,1.33,3,3,3,2,2,2,2.75,2,2,2,3,2,1,3,3,2,2.4,0,1,0,0,0,2,2,0.25,1,0,1,3,0,3,2,1.33,2,0,1,0,2,0,0.83,2,2,2,2,3,2,2,2,2.33,3,0,2,1.5,1.73,1.80,14,5,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Salvador,LAC,Lower middle income,2,,OGP,Unitary,3,3,3,3,3,3,3.00,3,3,3,3,2,2,3,3,3,3,3.00,3,2,3,0,2.67,3,3,0,0,2,1.5,3,3,2.69,3,0,0,2,1.00,2,0,1,3,0,3,2,0,0,0,0,2.00,0,0,1,0,1,1,3,3,3,3,3,1.33,3,3,3,2,3.00,3,1,1,1,1.67,3,3,0,3,2,1,2.25,1,2,1,2,0,0,0,2,2,0.8,0,0,2,0,2,0,0,0.5,3,3,3,3,3,3,2,3.00,3,0,3,0,3,0,1.50,0,0,2,0,3,0,1,2,1.33,0,0,0,0,1.37,1.80,13,3,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,Europe,Upper middle income,3,Aarhus,OGP,Unitary,3,3,2,3,3,2,2.67,3,3,3,3,0,1,3,3,3,3,3.00,3,3,2,0,2.67,3,3,1,0,2,1.75,3,3,2.68,2,2,2,2,2.00,0,0,0,2,0,2,2,1,0,0,0,1.33,1,2,2,1.5,1,1,3,2,3,3,2.75,1.43,3,3,2,2,2.67,1,2,2,2,1.67,3,2,3,2,0,2,2.5,2,2,2,2,2,3,2,1,0,2,0,1,0,0,0,2,2,0.25,0,0,1,1,1,1,2,0.67,3,3,2,1,1,1,1.83,0,0,0,0,1,0,0,0,0.33,0,0,0,0,1.27,1.79,11,2,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,Asia/Pacific,Lower middle income,2,,,Federal,3,2,2,3,3,3,2.67,2,2,3,3,1,0,2.5,3,3,3,3.00,3,3,2,1,2.67,0,0,0,0,1,0,1,1,1.97,1,1,1,2,1.00,1,1,1,1,0,1,2,2,2,1,2,0.67,1,3,1,2,0,0,3,0,1,1,1.25,0.99,3,2,3,2,2.67,3,3,3,2,3.00,3,3,3,3,2,2,3,3,2,3,3,3,3,1,2,2,2.4,2,2,0,1,1,2,2,1.25,3,2,3,3,3,3,2,2.83,3,3,3,0,3,1,2.17,2,2,1,2,3,3,0,2,2.00,2,0,0,1,2.30,1.75,15,7,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,LAC,Upper middle income,3,,OGP,Federal,3,3,3,3,3,2,2.83,3,2,3,3,2,2,2.75,3,3,1,2.33,3,3,2,1,2.67,3,3,3,3,2,3,1,1,2.43,1,1,1,1,1.00,0,1,0.5,1,0,1,2,1,1,2,2,0.67,1,1,1,1,0,0,1,1,3,1,1.5,0.78,3,3,3,2,3.00,3,3,3,2,3.00,3,3,3,3,2,0,3,3,2,3,3,1,0,0,0,2,0.8,0,0,0,0,0,0,0,0,3,3,1,3,3,3,2,2.67,3,0,3,0,3,3,2.00,1,1,0,1,3,3,3,2,3.00,1,1,0,1,2.04,1.75,13,5,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,LAC,Upper middle income,3,,OGP,Unitary,3,3,1,3,3,0,2.17,1,3,3,3,1,1,2.5,2,0,2,1.33,3,3,3,0,3.00,3,3,0,0,1,1.5,2,2,2.08,2,1,1,2,1.33,1,1,1,3,3,1,1,1,1,0,0,2.33,0,1,1,0.5,0,0,0,1,2,2,1.25,1.07,3,3,3,2,3.00,3,3,3,2,3.00,3,3,3,3,1,2,3,3,2,3,3,3,2,1,3,2,2.4,1,1,0,1,0,0,2,0.75,3,3,3,3,0,3,2,2.50,3,3,3,3,3,3,3.00,0,0,0,0,0,3,0,2,1.00,1,1,2,1,2.06,1.74,10,8,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,Europe,Upper middle income,3,Aarhus,OGP,Unitary,3,3,2,2,2,2,2.33,3,1,3,0,2,2,1.75,2,3,3,2.67,3,3,3,0,3.00,3,3,1,0,0,1.75,3,3,2.42,2,0,0,1,0.67,2,1,1.5,3,0,3,2,0,2,0,0,2.00,2,3,0,2.5,1,1,3,3,3,0,2.25,1.65,1,3,2,2,2.00,2,2,2,2,2.00,1,0,0,1,0,2,0.5,1,0,1,3,1,0,0,1,2,1,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,1.33,3,0,1,1,0,0,0.83,0,0,0,0,3,3,2,0,2.67,2,0,0,1,1.12,1.73,8,1,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,Africa,Lower middle income,2,,,Unitary,2,3,0,0,2,3,1.67,3,3,3,1,0,0,2.5,2,0,0,0.67,3,3,1,0,2.33,3,3,0,0,1,1.5,0,0,1.44,3,2,2,2,2.33,3,3,3,3,3,2,0,0,1,1,1,2.67,2,0,1,1,2,2,1,1,1,1,1,2.00,1,3,3,2,2.33,3,3,3,2,3.00,3,0,0,3,2,2,1.5,2,2,2,3,3,1,0,2,0,1.8,2,1,0,2,0,0,0,1.25,2,2,2,3,0,2,2,1.83,3,3,2,2,3,0,2.17,0,0,0,0,3,0,0,2,1.00,3,0,0,1.5,1.67,1.71,8,5,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,LAC,High income: OECD,5,,OGP,Unitary,3,3,2,3,3,2,2.67,3,3,3,1,2,2,2.5,3,3,0,2.00,3,3,2,1,2.67,3,2,1,0,2,1.5,0,0,1.89,1,1,1,2,1.00,1,1,1,2,1,2,2,2,1,2,0,1.67,1,2,2,1.5,1,1,2,1,1,1,1.25,1.24,3,3,3,2,3.00,3,3,3,2,3.00,3,3,3,2,2,2,2.75,2,1,2,2,2,1,2,2,2,1.8,0,1,0,1,1,2,1,0.5,1,1,2,3,1,3,2,1.83,3,0,3,0,2,0,1.33,0,2,1,1,3,3,3,2,3.00,1,0,1,0.5,1.88,1.67,16,7,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,LAC,Upper middle income,3,,OGP,Federal,3,3,2,3,3,2,2.67,1,1,2,1,1,1,1.25,2,1,0,1.00,1,1,1,1,1.00,3,3,1,0,1,1.75,1,1,1.44,3,1,0,1,1.33,1,1,1,1,1,0,1,1,1,1,1,0.67,2,3,1,2.5,1,1,1,1,1,1,1,1.25,3,3,3,2,3.00,3,3,3,2,3.00,3,3,2,3,2,2,2.75,2,1,2,3,3,3,2,3,2,2.8,2,1,0,0,2,2,2,0.75,3,2,2,2,2,3,2,2.33,3,3,3,2,3,1,2.50,0,0,0,0,2,2,2,2,2.00,3,3,1,3,2.19,1.63,10,13,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,LAC,High income: nonOECD,4,,OGP,Unitary,3,3,1,3,2,3,2.50,1,1,3,3,0,0,2,3,3,3,3.00,1,2,3,0,2.00,3,3,0,0,1,1.5,1,1,2.00,1,1,1,2,1.00,0,0,0,1,1,1,1,1,1,0,0,1.00,1,2,0,1.5,0,0,2,1,0,0,0.75,0.71,3,3,3,2,3.00,3,3,3,2,3.00,3,2,1,3,2,1,2.25,3,2,3,3,3,3,1,2,2,2.4,1,1,0,2,1,2,2,1,3,1,2,3,3,2,2,2.33,3,3,3,3,3,0,2.50,0,0,2,0,2,2,2,2,2.00,3,1,0,2,2.13,1.61,11,6,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,LAC,Lower middle income,2,,,Unitary,3,3,2,3,3,2,2.67,3,0,3,3,0,0,2.25,3,3,3,3.00,0,0,3,0,1.00,3,3,3,3,1,3,1,1,2.15,2,0,0,0,0.67,1,1,1,3,0,0,0,0,1,1,1,1.00,0,0,0,0,0,0,3,2,1,3,2.25,0.82,3,3,2,2,2.67,3,1,3,0,2.33,1,0,0,3,2,2,1,2,0,2,3,3,3,3,3,2,3,0,0,0,1,1,0,0,0.25,3,3,3,3,2,3,0,2.83,3,0,3,0,3,0,1.50,2,2,1,2,2,2,2,1,2.00,1,0,0,0.5,1.83,1.60,4,7,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Europe,Lower middle income,2,Aarhus,OGP,Unitary,3,3,2,3,3,2,2.67,1,2,3,3,1,2,2.25,2,3,3,2.67,3,3,0,0,2.00,3,3,0,0,1,1.5,3,3,2.35,1,1,1,1,1.00,0,0,0,1,0,1,1,0,1,0,1,0.67,1,1,1,1,0,0,3,1,1,1,1.5,0.69,3,3,2,2,2.67,3,3,2,2,2.67,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2.4,1,1,0,1,0,2,2,0.75,3,0,3,3,0,3,2,2.00,3,3,2,1,3,3,2.50,0,0,1,0,3,0,2,2,1.67,0,0,0,0,1.70,1.58,11,8,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,Asia/Pacific,Lower middle income,2,,OGP,Unitary,3,2,2,3,3,3,2.67,1,2,3,2,2,0,2,2,0,1,1.00,3,2,2,0,2.33,0,0,0,0,1,0,2,2,1.67,2,1,1,1,1.33,2,2,2,1,0,1,2,1,2,0,0,0.67,0,1,0,0.5,0,0,3,1,1,0,1.25,0.96,3,3,3,2,3.00,3,3,3,2,3.00,3,3,3,3,1,2,3,2,1,2,3,0,1,2,3,2,1.8,1,1,0,1,0,0,1,0.75,1,1,1,1,0,1,2,0.83,3,3,3,0,3,3,2.50,3,2,2,2.5,3,2,2,2,2.33,1,1,0,1,2.07,1.56,10,6,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,LAC,Upper middle income,3,,,Federal,2,3,2,3,3,1,2.33,1,2,3,1,0,0,1.75,1,1,0,0.67,2,3,2,1,2.33,0,0,0,0,1,0,0,0,1.18,3,2,2,2,2.33,2,3,2.5,1,0,1,1,1,1,1,2,0.67,2,2,1,2,0,0,3,2,2,2,2.25,1.63,3,3,2,2,2.67,3,3,1,2,2.33,3,3,3,1,2,0,2.5,3,1,3,3,1,3,2,0,2,1.8,0,1,0,1,0,0,0,0.5,2,3,3,3,3,3,2,2.83,3,3,3,3,3,0,2.50,0,2,0,1,0,3,0,2,1.00,1,0,0,0.5,1.88,1.56,8,8,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,LAC,Upper middle income,3,,OGP,Unitary,2,3,2,3,3,3,2.67,2,2,3,0,1,0,1.75,2,0,2,1.33,2,2,2,0,2.00,3,3,0,0,0,1.5,2,2,1.88,2,2,1,1,1.67,1,0,0.5,1,0,0,1,0,1,2,1,0.33,1,1,0,1,0,0,2,2,1,1,1.5,0.83,3,3,3,2,3.00,3,3,3,2,3.00,3,3,3,2,2,2,2.75,3,2,3,3,2,1,1,2,2,1.8,0,0,1,1,1,0,2,0.5,2,1,1,2,0,3,2,1.50,3,2,3,1,3,3,2.50,0,0,1,0,0,2,2,2,1.33,1,1,0,1,1.85,1.52,10,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,Asia/Pacific,High income: OECD,5,,,Unitary,3,3,1,3,2,3,2.50,2,2,3,3,2,2,2.5,3,3,2,2.67,3,2,2,0,2.33,3,3,1,0,2,1.75,0,0,1.96,1,1,1,2,1.00,1,1,1,1,0,1,2,0,2,1,1,0.67,1,2,2,1.5,1,1,3,1,1,1,1.5,1.11,3,3,3,2,3.00,2,2,3,2,2.33,1,0,0,3,2,2,1,1,0,1,3,3,0,3,2,2,2.2,3,2,0,1,0,2,2,1.5,2,1,1,2,3,1,2,1.67,3,0,3,3,3,0,2.00,0,0,2,0,3,0,0,2,1.00,1,0,2,0.5,1.47,1.51,18,2,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Africa,Low income,1,,,Unitary,3,2,1,3,3,3,2.50,2,2,0,0,0,0,1,2,2,2,2.00,3,3,2,2,2.67,3,2,1,0,2,1.5,0,0,1.61,2,2,0,0,1.33,1,1,1,1,1,0,1,1,0,1,0,0.67,0,2,1,1,0,0,3,1,3,1,2,1.00,3,2,2,2,2.33,3,3,2,2,2.67,3,3,0,2,1,1,2,2,0,2,3,2,0,3,0,2,1.6,0,1,0,1,0,2,0,0.5,3,1,3,3,3,3,2,2.67,3,0,3,0,3,1,1.67,2,1,1,1.5,3,3,2,2,2.67,3,0,0,1.5,1.92,1.51,8,7,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,Asia/Pacific,High income: OECD,5,,OGP,Unitary,3,2,1,3,3,2,2.33,3,3,0,3,2,2,2.25,2,3,3,2.67,2,3,0,1,1.67,0,0,0,0,1,0,2,2,1.82,2,2,2,2,2.00,1,1,1,2,0,1,2,2,2,1,0,1.00,1,1,1,1,0,0,2,0,1,0,0.75,0.96,3,2,3,2,2.67,3,3,3,2,3.00,2,1,1,3,2,2,1.75,3,2,3,3,3,0,3,3,2,2.4,0,1,0,0,0,2,2,0.25,2,2,3,3,1,1,2,2.00,3,0,3,0,3,1,1.67,1,0,0,0.5,2,2,0,2,1.33,1,0,1,0.5,1.73,1.50,16,5,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,North America,High income: OECD,5,,OGP,Federal,3,2,1,3,2,2,2.17,2,2,2,1,1,2,1.75,2,3,1,2.00,2,1,2,1,1.67,3,1,0,0,1,1,0,0,1.43,1,1,1,2,1.00,1,1,1,1,1,1,2,2,1,0,0,1.00,1,2,1,1.5,1,1,1,1,2,1,1.25,1.13,3,2,3,2,2.67,3,3,3,2,3.00,3,2,1,3,0,2,2.25,2,2,2,3,3,0,2,3,2,2.2,0,1,0,2,1,0,2,0.75,2,1,1,1,1,1,0,1.17,3,0,3,0,3,0,1.50,2,2,1,2,1,2,2,2,1.67,2,1,2,1.5,1.88,1.48,12,7,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenya,Africa,Low income,1,,OGP,Unitary,3,3,1,0,3,3,2.17,1,1,1,1,0,0,1,1,0,0,0.33,2,3,2,0,2.33,3,3,0,0,1,1.5,0,0,1.22,2,2,2,2,2.00,2,1,1.5,1,0,1,2,2,2,1,1,0.67,1,1,1,1,0,0,1,0,1,1,0.75,0.99,3,3,3,2,3.00,1,3,3,2,2.33,3,3,3,3,1,2,3,3,2,3,3,3,1,3,3,2,2.6,2,2,1,1,0,0,0,1.5,2,2,3,3,3,3,2,2.67,3,0,3,3,3,0,2.00,0,0,0,0,3,2,0,2,1.67,3,1,0,2,2.16,1.46,11,5,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Asia/Pacific,High income: OECD,5,,OGP,Federal,3,3,1,3,2,3,2.50,1,1,2,0,0,2,1,2,3,2,2.33,3,0,2,1,1.67,3,2,0,0,2,1.25,1,1,1.63,2,2,2,2,2.00,0,0,0,2,1,1,2,0,1,1,1,1.33,2,2,1,2,1,1,1,0,1,0,0.5,1.14,3,3,3,2,3.00,3,3,3,2,3.00,2,1,0,3,0,2,1.5,1,2,1,3,2,0,3,2,2,2,0,1,0,1,2,2,2,0.5,1,1,1,1,1,1,2,1.00,3,0,3,0,3,0,1.50,0,0,2,0,3,2,1,2,2.00,1,1,2,1,1.50,1.42,16,5,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,Asia/Pacific,Upper middle income,3,,,Unitary,3,2,2,0,2,2,1.83,3,2,3,0,1,0,2,1,0,2,1.00,2,0,0,0,0.67,3,3,1,0,2,1.75,3,3,1.71,2,2,2,1,2.00,0,0,0,1,0,1,1,0,2,0,0,0.67,0,0,0,0,0,0,3,0,0,0,0.75,0.57,3,3,3,2,3.00,3,3,3,2,3.00,3,2,0,3,2,2,2,2,2,2,3,3,0,1,3,2,2,1,1,0,1,1,0,1,0.75,2,0,3,3,3,2,2,2.17,3,3,3,0,3,0,2.00,2,2,2,2,1,2,2,2,1.67,0,0,0,0,1.87,1.38,11,5,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Asia/Pacific,Upper middle income,3,,,Unitary,3,2,1,3,2,3,2.33,3,1,3,3,2,0,2.5,1,1,2,1.33,2,2,1,0,1.67,2,0,1,0,1,0.75,2,2,1.76,2,1,1,0,1.33,1,1,1,1,1,1,1,0,1,1,0,1.00,1,2,1,1.5,1,1,1,0,1,0,0.5,1.06,1,2,1,0,1.33,1,1,1,2,1.00,1,1,1,1,2,1,1,1,0,1,1,1,3,1,1,2,1.4,0,1,0,1,0,0,1,0.5,0,0,1,3,2,3,0,1.50,3,3,2,2,2,0,2.00,1,2,1,1.5,3,1,0,1,1.33,1,1,2,1,1.23,1.35,5,9,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philippines,Asia/Pacific,Lower middle income,2,,OGP,Unitary,2,2,0,3,2,1,1.67,0,1,1,1,0,1,0.75,1,0,1,0.67,1,3,0,0,1.33,3,3,2,3,1,2.75,2,2,1.53,2,1,0,2,1.00,2,1,1.5,0,1,0,1,0,1,0,0,0.33,1,0,1,0.5,0,0,1,1,2,2,1.5,0.81,0,0,0,0,0.00,3,3,3,2,3.00,3,3,2,3,2,2,2.75,3,2,3,3,3,0,2,0,2,1.6,3,2,0,1,0,0,0,1.5,3,3,3,1,1,2,2,2.17,2,0,3,3,2,0,1.67,2,0,2,1,2,0,0,2,0.67,3,0,2,1.5,1.71,1.35,10,5,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,LAC,High income: nonOECD,4,,OGP,Unitary,3,3,2,3,3,3,2.83,0,0,0,1,0,0,0.25,3,1,3,2.33,0,2,2,0,1.33,3,3,1,0,1,1.75,1,1,1.58,1,0,1,1,0.67,1,1,1,1,1,1,1,0,0,1,0,1.00,0,1,1,0.5,0,0,1,0,1,1,0.75,0.65,3,3,3,1,3.00,3,3,3,2,3.00,3,3,3,3,1,2,3,2,1,2,3,3,2,2,3,2,2.6,0,1,0,0,0,0,0,0.25,3,2,1,1,1,1,2,1.50,0,0,3,1,3,0,1.17,0,0,0,0,2,2,0,2,1.33,1,0,0,0.5,1.67,1.30,5,8,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,Africa,Low income,1,,,Unitary,3,2,2,3,3,2,2.50,1,0,0,3,0,2,1,3,2,3,2.67,0,2,2,0,1.33,3,3,0,0,2,1.5,0,0,1.50,1,0,0,0,0.33,1,1,1,1,1,1,1,1,0,1,1,1.00,1,1,0,1,0,0,0,1,1,0,0.5,0.64,3,1,3,2,2.33,3,3,3,2,3.00,3,3,3,3,2,2,3,3,2,3,3,3,0,3,3,2,2.4,0,1,0,1,0,0,0,0.5,2,3,2,2,1,3,2,2.17,3,0,2,0,1,0,1.00,0,0,1,0,2,2,2,2,2.00,0,0,0,0,1.76,1.30,10,5,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
